id,date,rxl,cid,lac,rnc
28181,1259994687146,-93,16537,27,0
28182,1259994687476,-93,16537,27,0
28183,1259994687816,-93,16537,27,0
28184,1259994688146,-93,16537,27,0
28185,1259994688486,-93,16537,27,0
28186,1259994688816,-93,16537,27,0
28187,1259994689156,-93,16537,27,0
28188,1259994689486,-93,16537,27,0
28189,1259994689826,-93,16537,27,0
28190,1259994690156,-93,16537,27,0
28191,1259994690724,-93,16537,27,0
28192,1259994690824,-93,16537,27,0
28193,1259994691156,-93,16537,27,0
28194,1259994691496,-93,16537,27,0
28195,1259994691826,-93,16537,27,0
28196,1259994692166,-93,16537,27,0
28197,1259994692496,-93,16537,27,0
28198,1259994692836,-93,16537,27,0
28199,1259994693166,-93,16537,27,0
28200,1259994693506,-93,16537,27,0
28201,1259994693836,-93,16537,27,0
28202,1259994694166,-93,16537,27,0
28203,1259994694506,-93,16537,27,0
28204,1259994694856,-93,16537,27,0
28205,1259994695173,-93,16537,27,0
28206,1259994695513,-93,16537,27,0
28207,1259994695843,-93,16537,27,0
28208,1259994696173,-93,16537,27,0
28209,1259994696513,-93,16537,27,0
28210,1259994696853,-93,16537,27,0
28211,1259994697182,-93,16537,27,0
28212,1259994697522,-93,16537,27,0
28213,1259994697852,-93,16537,27,0
